uuid,level,name,std1,app1,app1(%),app2,app2(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt1,opt1(%),opt2,opt2(%),opt3,opt3(%)
02-3c098f83e9848435d4577fc25050a74b,2,__isr_table_entry_z_irq_spurious_irq_538,,,,8,,,,,,,,,,8,0,8,0
02-3ca09ab72ebf395f416fe78779334685,2,__pinctrl_state_pins_0__device_dts_ord_117,,,,12,,,,,,,,,,12,0,12,0
02-3cc0c8ebf3774c888b4a9b88a7a628c9,2,__isr_table_entry_z_irq_spurious_irq_586,,,,8,,,,,,,,,,8,0,8,0
02-3cc54a4e121816675da2d0782e61e5bb,2,lock.lto_priv.5,,,,4,,,,,,,,,,4,0,4,0
02-3cca42c4f48f32184dc7d459a6842407,2,z_main_thread,144,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0
02-3d170f020eec630a6305158ecdf7d409,2,__isr_table_entry_z_irq_spurious_irq_763,,,,8,,,,,,,,,,8,0,8,0
02-3e82d3320e0c286b572f6f43eb26a4fe,2,m_sca_mapping.1,,,,,,,,,,,,,,24,,,
02-3e8dd2b371986dbd9129a20fc78914e8,2,__isr_table_entry_z_irq_spurious_irq_563,,,,8,,,,,,,,,,8,0,8,0
02-3ead3c83895be48dd3dbd5197a977955,2,__isr_table_entry_z_irq_spurious_irq_625,,,,8,,,,,,,,,,8,0,8,0
02-3eedbbe64a9375b756c5a3304928e466,2,rx_work,,,,16,,,,,,,,,,16,0,16,0
02-3f8a9ad4cd1a2f421fe119c6513fed77,2,_char_out.lto_priv.0,,,,4,,,,,,,,,,4,0,4,0
02-406b1fcdef03b1b851048a9adada3087,2,sys_work_q_stack,,,,2048,,,,,,,,,,2048,0,2048,0
02-40f5e378ac7f8a1f8421222d9960c5f7,2,procedures_on_connect,,,,16,,,,,,,,,,16,0,16,0
02-414cc71d87741a10b1f28b63eb063b1b,2,__isr_table_entry_z_irq_spurious_irq_674,,,,8,,,,,,,,,,8,0,8,0
02-41b8569c09ac955fe309f82c090523bc,2,k_cracen_prng_pool_mutex,,,,20,,,,,,,,,,20,0,20,0
02-41be535153c4b535bc9d0a610d3bd66b,2,stderr,,,,,,,,,,,,,,4,,4,0
02-41cbb60e3ac104be00d14fb4ac2897dc,2,__isr_table_entry_z_irq_spurious_irq_773,,,,8,,,,,,,,,,8,0,8,0
02-42f86d67a99165084f6a70befd3ad108,2,__isr_table_entry_z_irq_spurious_irq_762,,,,8,,,,,,,,,,8,0,8,0
02-4339c33948cbc877bca41f6222bb59c6,2,__isr_table_entry_z_irq_spurious_irq_643,,,,8,,,,,,,,,,8,0,8,0
02-4386320aeb2fc998b22dee1496aed18e,2,flash_nor_parameters,,,,8,,,,,,,,,,8,0,8,0
02-43e69b1afbbf06f120eba809ba1a5fe4,2,__isr_table_entry_z_irq_spurious_irq_593,,,,8,,,,,,,,,,8,0,8,0
02-43e8532a0c3d87eaef202cfa1294bee8,2,__isr_table_entry_z_irq_spurious_irq_663,,,,8,,,,,,,,,,8,0,8,0
02-44030823eb9c6bd6fa6bdd2a149ed9ce,2,store_id_work,,,,16,,,,,,,,,,16,0,16,0
02-449181b22d492532607e1342bd197c04,2,__isr_table_entry_z_irq_spurious_irq_627,,,,8,,,,,,,,,,8,0,8,0
02-44f0cbab43d4061c1dc047bd6a579531,2,sym_*,,,,40,,,,,,,,,,40,0,40,0
02-4509f0f5c202138f43987e209f9796a2,2,prng.lto_priv.0,,,,,,,,,,,,,,64,,64,0
02-4527790f301c55e12e9d9eacd6049ff0,2,spi_00z_config,,,,76,,,,,,,,,,76,0,76,0
02-45dc2c7a024ae0030919e5a73ee5d190,2,net_buf_data_att_pool,,,,380,,,,,,,,,,380,0,380,0
02-45ecbf4a85f7d23b050f9bb46d03dbc3,2,__isr_table_entry_z_irq_spurious_irq_611,,,,8,,,,,,,,,,8,0,8,0
02-4687293ff1fdc5b845e8e1f2080248df,2,delay_machine_code.0,,,,6,,,,,,,,,,6,0,6,0
02-46bd473590fe0d7091266ed75f84acf6,2,uarte_20z_config,,,,44,,,,,,,,,,44,0,44,0
02-47352518f90e6887f4dd7acbc9a14580,2,settings_load_srcs,8,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0
02-484c3e22c0a675bebb47e4b7669baddb,2,__isr_table_entry_z_irq_spurious_irq_590,,,,8,,,,,,,,,,8,0,8,0
02-486e6cd412181b733ecb26303f4bd9ba,2,__isr_table_entry_z_irq_spurious_irq_662,,,,8,,,,,,,,,,8,0,8,0
02-48e4aa0d21f89bc0fe4d182662350798,2,__isr_table_entry_z_irq_spurious_irq_715,,,,8,,,,,,,,,,8,0,8,0
02-491bbb25fea39ee590be0558756b2623,2,normal_events,,,,48,,,,,,,,,,48,0,48,0
02-4948eedccbc71144b12d114e7a797a0d,2,__isr_table_entry_z_irq_spurious_irq_759,,,,8,,,,,,,,,,8,0,8,0
02-4a60a8becb8e89acd1821508d252f412,2,s_out_joblist.0,16,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0
02-4cedb0880a241a30d61d247643369527,2,__isr_table_entry_z_irq_spurious_irq_771,,,,8,,,,,,,,,,8,0,8,0
02-4d349e80eb72987ab3c335792642c9c4,2,__isr_table_entry_z_irq_spurious_irq_737,,,,8,,,,,,,,,,8,0,8,0
02-4d36d820831920fd9f41e7b03148ab91,2,__isr_table_entry_z_irq_spurious_irq_688,,,,8,,,,,,,,,,8,0,8,0
02-4d4a9aa362b6ffe089fd2e992ccf4f5f,2,heap,,,,40,,,,,,,,,,40,0,40,0
02-4d52d00180902f839aad5715c8df022d,2,net_buf_fixed_alloc_sync_evt_pool,,,,12,,,,,,,,,,12,0,12,0
