uuid,level,name,std1,stdz1,stdz1(%),opt1,opt1(%),app1,app1(%),app2,app2(%),feat1,feat1(%),feat2,feat2(%),feat3,feat3(%),feat4,feat4(%),feat5,feat5(%),feat6,feat6(%),feat7,feat7(%),feat8,feat8(%),feat9,feat9(%),feat10,feat10(%)
02-209f3fbd4df7018f2b277f9dafdcc25f,2,att_handle_exec_write_rsp,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-21d85f5a71e32023331b13017eceeabe,2,cmd_get_terminal_size.0,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,0
02-22ed0daba86e7c1e4b68a251fdc7e937,2,p256_zdblu,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,
02-23d2b15f5c0cecddd107c637176e970b,2,cfg_flags.0,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0
02-23e3ca5bf569f40b0ab2615bb1f16ca4,2,pdu_validate_length_req,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-2438921d530dacb12b45ebb0125b3a62,2,sdc_hci_cmd_ip_read_local_version_information,4,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-24c33103069b0f0e7879ad8f2ff2d333,2,strcmp,20,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0
02-250aedc1e05f812347f2c087cc596c6a,2,ocrypto_hmac_sha256,,,,,,,,,,,,,,,,,,,,726,,,,,,,,,
02-26f99cabd3c36a714a8526d05eca82bc,2,CSWTCH.*,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,
02-27910bc25740bd3e1bff74124dc0bf71,2,mpsl_fem_tx_power_split,20,,,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0
02-27c1fddba4a03bf70b2f953cf2ea5433,2,sdc_hci_cmd_le_set_data_related_address_changes,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
02-288267125d7fcf73765d8cefb82f9b09,2,mfy.3,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-28ba64f5d894447c9ed6dd80bb8a743f,2,nordic_str.1,24,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0
02-290b8fe62298678eff699dac6a42a3c7,2,sdc_hci_cmd_vs_zephyr_read_version_info,56,,,56,0.0,56,0.0,56,0.0,56,0.0,56,0.0,56,0.0,56,0.0,56,0.0,56,0.0,56,0.0,56,0.0,56,0.0,56,0.0
02-291d3afca503bd4638f5f5874d072b22,2,sdc_hci_cmd_le_reject_cis_request,4,,,,,4,0.0,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-295023daf00d41f489aba20e9fda7b2b,2,pdu_validate_ping_rsp,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-2b17117f3ee7bc0e8a67cdbc0ff5fca4,2,sha256_blocks.constprop.0,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,
02-2d5925229dd0cf8ce42558ba1077f552,2,sdc_hci_cmd_vs_peripheral_latency_mode_set,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
02-2e1cfe8e312ef6be7c43437165df99bd,2,sdc_rand_source_register,16,,,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0
02-2f158c4731d76d5975b8546d85de1b34,2,C:\,2284,2284,0.0,2284,0.0,2296,0.53,2296,0.53,2288,0.18,2284,0.0,2284,0.0,2284,0.0,2284,0.0,2288,0.18,2284,0.0,2284,0.0,2284,0.0,2284,0.0
02-3064bc7e010ccf2a0382caf42c9687e8,2,p256_zaddu,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,
02-30f9be907da08e8ec429c10d66f53c9f,2,ocrypto_mod_p256_to_bytes,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,
02-319b5998335c1a61df7d80b754f9d40f,2,llcp_pdu_decode_length_rsp,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-32af5b9b89ccb5846acd3a7bff058ef9,2,sdc_hci_cmd_le_write_suggested_default_data_length,4,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-3372af3c02900bba27f6c78efc20d0b8,2,__udivmoddi4,668,668,0.0,668,0.0,668,0.0,668,0.0,668,0.0,668,0.0,668,0.0,668,0.0,668,0.0,668,0.0,668,0.0,668,0.0,668,0.0,668,0.0
02-33b309a10b2f4936997a72d144b3ad7c,2,sdc_hci_cmd_le_remove_device_from_resolving_list,4,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-349e04cd5af966035e651f5a5c2312db,2,find_next,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
02-35dcf79f4bb7f5a38294e23f9d3f450b,2,sdc_hci_cmd_le_set_data_length,4,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-369c05cc174c955d53da09856e5565c8,2,sdc_hci_cmd_le_write_rf_path_compensation,,,,,,,,,,,,,,,,4,,,,,,,,4,0,,,,
02-36e3252034447fad7e24ac6e5520c89a,2,__l_vfprintf,1204,1204,0.0,1204,0.0,1204,0.0,1204,0.0,1204,0.0,1204,0.0,1204,0.0,1204,0.0,1204,0.0,1204,0.0,1204,0.0,1204,0.0,1204,0.0,1204,0.0
02-37116fb118c85a0a3d4808cc56c490a8,2,mpsl_fem_utils_available_cc_channels_cache,64,,,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0
02-37247a44a7549e18c0b734da14579da3,2,ocrypto_sc_p256_from32bytes,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,
02-37cfebef8bec93c3fe1cd48a12383662,2,ocrypto_aes_key_schedule,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,
02-386ded15827584aee3f64bf5b5b7b443,2,sdc_hci_get,32,,,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0
02-38d7b76b771634bb6aaae4ffde5922a8,2,_sw_isr_table,2168,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0
02-3b68c8058a2d6ba9e002a0bf8348e2f5,2,var_str.0,16,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0
02-3c1d2ae4050762e3771f5e2a28a98876,2,ocrypto_sqr256_noframe,,,,,,,,,,,,,,,,,,,,278,,,,,,,,,
02-3d18de3e4181c58ca30b93dcbc05c292,2,sha256_blocks,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,
02-3d941adff64c5d52cc59795d188ad3e1,2,ocrypto_constant_time_equal,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,
02-3db7dc0057a435fef710653759da812b,2,sdc_hci_cmd_le_set_host_feature,,,,,,,,,,4,,4,0,,,,,,,,,,,,,,,,
02-3e075d80832bfdfc6391793b3e79aa50,2,ocrypto_constant_time_is_zero,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,
02-40107b4903bf893c5c2d378bad0078cb,2,sdc_hci_cmd_le_add_device_to_filter_accept_list,4,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-40368bcde44385884b95b32a565e3a65,2,ocrypto_bigint_cadd256,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,
02-4097fa1eb4ce28897aa7acf331b24215,2,__fixunsdfsi,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,
02-40f9d6a270ce403168b27be8f621bb09,2,llcp_pdu_decode_conn_param_rsp,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-41be535153c4b535bc9d0a610d3bd66b,2,stderr,4,4,0.0,4,0.0,,,4,0.0,4,0.0,4,0.0,4,0.0,,,,,4,0.0,,,4,0.0,4,0.0,,
02-427d22b2582ea2c78bf73f049a83f08f,2,sdc_hci_cmd_cb_set_event_mask,10,,,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0
02-4287a4df4ae50ebfb8cb668ef27e7b98,2,memcmp,32,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0
02-4479f16218052d17653c9c579c7fefb6,2,ocrypto_sha256_update,,,,,,,,,,,,,,,,,,,,428,,,,,,,,,
