uuid,level,name,std1
03-7dfd0916e87aaa90a45bf1ec3391e970,3,subsys,29283
03-820f20aaff1a08fa09ed2471da8e8e10,3,sem.c,320
03-955871c9778abe2297251e689899dcdc,3,gpio,1104
03-9abfc3fa0a586782b875ee02ad45dcd8,3,bluetooth,38719
03-a39401275d1b300aa789fb22aea4148a,3,flash,2334
03-a5618994268beaa9fba3b5fc78562a8b,3,queue.c,414
03-a7f3eb49d6fb4ccbbe593eb48c2bd096,3,device.c,24
03-a94562fb46c3ca23d4dd8798cc3464cf,3,nordic,260
03-ab36abef0cdebd2f84424ad4d17e286b,3,i2c,890
03-bc7b36fe4d2924e49800d9b3dc4a325c,3,fs,3442
03-bc957e26ff41470c556ee5d09e96880b,3,misc,2
03-bda16fa0e64e7aad8ddd86b71b0c308c,3,system_work_q.c,60
03-c4de0655302956f48d32155b4d80f44d,3,busy_wait.c,8
03-c80a73b78d3d460ce9f1d222a87714b0,3,poll.c,272
03-cde9e8dec3ca8de88aa6cf61c1c0252c,3,hal,9501
03-d436eb0fd9de10b54a828ce6435f7e81,3,include,40
03-da1fe2b4f26525ab43e1476ed51c23d8,3,sched.c,2026
03-dbdec1f2df92b57fa3cef80445426a24,3,fatal.c,48
03-dd302f94682dbd2a114d63b0433602e0,3,os,172
03-ddecebdea58b5f264d27f1f7909bab74,3,storage,248
03-e5823ba08cf6f8acc6662017ec572078,3,libc,102
03-e8acc63b1e238f3255c900eed37254b8,3,lib,1092
03-f1f3a153101f852d1c4ec66f6e755471,3,mem_slab.c,300
03-f3474cdd6a817f1ae88af8b1ea224b15,3,mempool.c,78
03-f5ad59c5401fea3f2df0703d958fdc97,3,crc,60
03-f843a7390a4012d214747466b1f97def,3,timeslicing.c,268
03-f926b3e222d7afee57071b2256839701,3,arm,2508
03-fe69fd0a878b10d190c924b2398bad9c,3,drivers,470
03-ff154c0ad97c0dfa9c535e0c3c3f381f,3,init_static.c,2
04-013cf98c5024c224fa95de8df815cb61,4,handle_flush,2
04-0145d036cc1c843e1dd82d75d3f2a73b,4,z_pend_curr,88
04-0186b62759bfbbf56bb8eed4d5fcd7bd,4,oberon-psa-crypto,5164
04-0300d5aad6862b5c6002a102b3e7b805,4,__init_k_sys_work_q_init,8
04-0404dc2c16d4bcf2ce68e7523868a995,4,submit_to_queue_locked,180
04-044db9b7919cfafda6d31399eac85f4a,4,__init_statics_init_pre,8
04-0466f8255ca969a25d1b5237b97716cd,4,cancel_async_locked,102
04-0591fde52cb021e21414b153f5e33385,4,z_impl_k_wakeup,76
04-05c43e7cc483c17fddcbd43056369d38,4,z_impl_k_queue_peek_head,8
04-05ed5d6dd88e99895c49d7aae4ccf22c,4,event_walk_op,48
04-06211195169bf1614c1b19bd943c0250,4,z_impl_k_sem_give,104
04-093009b7bbd462f4b0c9e00a48beb894,4,z_sched_init,16
04-0a6860e83a5bef7351fe2f9e60a849ec,4,init_mem_slab_obj_core_list,36
04-0b9c08a206795235ac5e456297109b56,4,z_reschedule_irqlock,40
04-0dbfbb2e45596669ae25bc37ee28dba4,4,assert.c,26
04-10cd395cf71c18328c863c08e78f3fd0,4,services,406
04-12593e4fd3f8603a12a812fe66e377b8,4,z_init_static,2
04-14f14bae508c48a90a4c4e196672872f,4,k_work_submit,12
04-15a9c5522d179884c1dc35202bce8ba7,4,flash_map,248
04-1746aea4cab77b7417101baafeffafa4,4,sys_clock_tick_get,48
04-17f3c8150bbe6d2746c1b69a8505383b,4,timeout_list,8
04-18ca7d9e367a3b1dd63b663b968294e1,4,crc8_sw.c,60
04-1acd5653459ce23722750db444dd280f,4,z_impl_k_poll_signal_raise,80
04-1da322ce2e0949307fcd93a08ab1a19e,4,flash_page_layout.c,194
