uuid,level,name,std1,std1_release,std1_release(%)
02-0fbedaa99f3319829dd81d64082d6d8d,2,__isr_table_entry__isr_wrapper_irq_514,4,4,0.0
02-0fd8006230149ab229847684e149586d,2,k_cracen_mutex,20,20,0.0
02-0fff88c07796f6997bf005593b15c507,2,__isr_table_entry_z_irq_spurious_irq_741,8,8,0.0
02-10460ca8b067bc18da64c2e82eda1d22,2,read_pnp_id.lto_priv.0,24,24,0.0
02-10758a602d2e0b6a429fbb48f5ba22bb,2,ll_dc_proc_peer_ctrl_timer_stop,30,30,0.0
02-10a6432854346ec3c586d511372ad1cf,2,att_find_type_req,192,196,2.08
02-10ad58af670c0132e8ce7bc45820c6a1,2,__isr_table_entry__isr_wrapper_irq_272,4,4,0.0
02-10ae1b43e1fc7c6fb8dc5724c0078b20,2,bt_le_adv_resume,224,204,-8.93
02-10b5e49e75ec3127808cf003625a2d57,2,m_adv_build_and_send_primary_legacy_packet,520,520,0.0
02-10bd057dbaae1fb82a5334f681effd3c,2,bt_att_chan_send_rsp.lto_priv.0,28,28,0.0
02-10c8101ac71baeaa267f63e6b7ba8427,2,bg_thread_main.lto_priv.0,2968,2344,-21.02
02-10c82873e29731c597743040616e4f9d,2,sx_pk_mem2op_be,46,46,0.0
02-112f9b5b92ffb82b7882d1837b379d88,2,convert_to_id_on_match,32,,
02-1160d039464982cc9b12a05ea3607a73,2,ll_dc_proc_ping_rsp_sent,14,14,0.0
02-116abace34efc102a7ab6bfedbd435bb,2,__isr_table_entry__isr_wrapper_irq_96,4,4,0.0
02-116ee16751712b70079618dbe25b7ec4,2,bt_l2cap_recv,80,50,-37.5
02-119146ba50173a8a81e2542ba447b2a3,2,SystemInit,248,248,0.0
02-11d6b18b1d4e40cf9c3b1a5cab49f28e,2,gpio_nrfx_manage_callback.lto_priv.0,80,48,-40.0
02-11dec2e900386817d418713e4af98eff,2,soc_config_cleanup,92,,
02-11e58088702fbcb5b7356e4dde5d11c8,2,pending_recycled_events,24,24,0.0
02-121f300c1f173b44f9bd4392a1a1a73c,2,m_primary_channel_count_get.lto_priv.0,18,18,0.0
02-123cb10e53514cefe480e68e612ec62a,2,rem_hal_event_timer_time_us_get,28,28,0.0
02-123e994c276a9b86b8892d73142398e2,2,psa_finish_key_creation.constprop.0,64,64,0.0
02-1240feb14683c41180f948436d2e4819,2,k_cracen_prng_context_mutex,20,20,0.0
02-126f1e73863a1e10a60a31829c106b41,2,__isr_table_entry__isr_wrapper_irq_260,4,4,0.0
02-1282474d38f8b07d2ebbf6312414615f,2,m_adv_running_get.lto_priv.0,44,44,0.0
02-12828ae6545b82c55177541276180cbe,2,ll_util_hal_rcs_phy_to_btle_phy.lto_priv.0,,22,
02-12a3736bb04834698987859685233b4b,2,zms_flash_data_wrt,52,52,0.0
02-12ab9550b3cfcb7f0b37ee2fa481c129,2,zms_get_sector_header.lto_priv.0,72,72,0.0
02-12b0b87bb412c741b4cc73cf9327f04d,2,smp_public_key,312,272,-12.82
02-12be43e4774e60af61b93ed05162e3d8,2,m_adv_ds_on_state_send_primary_legacy.lto_priv.0,168,168,0.0
02-12db0d6ce4c0a9e11c9b85f82e3a9d03,2,__isr_table_entry_z_irq_spurious_irq_536,8,8,0.0
02-12f5c7ec4a00534ed2de6811a721aa56,2,__isr_table_entry_z_irq_spurious_irq_692,8,8,0.0
02-130e43a92b201aa621ce2e8389b33809,2,__isr_table_entry_z_irq_spurious_irq_600,8,8,0.0
02-1312411d9eb68ad4aba7f74a45ec4711,2,m_rac_reset.lto_priv.0,16,16,0.0
02-134a557b3fc88b6c6aa7e359c193f6db,2,update_ccc,264,224,-15.15
02-1362833441419646b01cf979e676b51d,2,multithreading_lock_release,12,12,0.0
02-138625eb9e9410320eb72e545b01789c,2,init_work,,24,
02-139a81ee6c118b15f26e1f748cee7c16,2,m_find.lto_priv.0,140,140,0.0
02-13d61ff0a2f53ea821c20cb5fb0a1d29,2,bt_id_del,304,252,-17.11
02-13d8c90a8a1bec2fb8a75aa1bd60d694,2,gen_method_sc,25,25,0.0
02-13d90d84ada6252899ad7462e4b856bb,2,bt_att_disconnected,220,220,0.0
02-14144b15c94b445792a0da2420aae5e6,2,hal_aar_disable,108,108,0.0
02-141e2443481eb13a4f9c569ffa45bf4f,2,__isr_table_entry_z_irq_spurious_irq_781,8,8,0.0
02-1429ee535390ce3368c27ba3ceb3bb86,2,l2cap_recv,156,80,-48.72
02-142c1978ce556f821ec99cc3f73ae7da,2,psa_fail_key_creation.constprop.0,36,36,0.0
02-14bdef26d7e314b34ae374163ef0e325,2,le_conn_update_complete,340,296,-12.94
02-14c84ab95372a7d1b5a7601b3b934d0d,2,__isr_table_entry__isr_wrapper_irq_392,4,4,0.0
02-14dabb22e50254fe67bd2c4b6ea29971,2,pm_device_driver_init.lto_priv.1,32,,
02-14e96c12cb011a1c738131926ffcd07d,2,notification_cb_flag.lto_priv.0,1,1,0.0
02-14f14bae508c48a90a4c4e196672872f,2,k_work_submit,12,12,0.0
02-151215f7c610032d3f44a066730e09f1,2,__isr_table_entry__isr_wrapper_irq_184,4,4,0.0
02-151d1a2720cc2ad45e71f0bb7e1999fe,2,__isr_table_entry_z_irq_spurious_irq_562,8,8,0.0
02-155cfc268120648673b10e41c5201ca0,2,cracen_wait_for_interrupt,156,80,-48.72
02-1563d57a2fbbd7ccc9f840c4ef99a6b2,2,__device_dts_ord_10,20,20,0.0
02-15a8be0d3db8dcbeb6b8d802bb4e0dce,2,hids_boot_kb_inp_rep_ccc_changed,4,4,0.0
02-15dd1f0bbdc92b0e5e434d3acdad3959,2,__init_uart_console_init,8,,
02-15df20d64890d8705be826ef9cc3761f,2,m_ecb_block_encrypt.constprop.0,304,304,0.0
02-15f611066df4aa611b880322acecb65b,2,buttons_scan_fn.lto_priv.0,288,184,-36.11
02-161cfd5335f0121c6d03f4c87e5b7eb0,2,__isr_table_entry_z_irq_spurious_irq_635,8,8,0.0
02-1625d76be5b128c0bdac61cfa930b20c,2,bt_rand,40,40,0.0
02-16308869526fe9f6e2442715bd7db541,2,m_adv_init.lto_priv.0,116,116,0.0
02-16604d3a6772701ce3665584477df6a3,2,__isr_table_entry__isr_wrapper_irq_520,4,4,0.0
02-168938c405d31f1a9bfff7494e1c7d2d,2,adv_reset_list_elem,8,8,0.0
02-16a6037baef3c5616de9ef62c028c315,2,__init___device_dts_ord_56,8,8,0.0
02-16ae4266237ed6dcf019069d2b8b1c87,2,__nrfy_internal_twim_events_process.constprop.0,110,110,0.0
02-16b66df32213c97f1862e07e9d97f0b5,2,gatt_indicate,328,276,-15.85
02-16fcec9252ef64903b5cca37dfabcfd9,2,mpsl_signalling_evt_signal,88,88,0.0
02-1711e7f11e6e3d833111b0906bc9e71a,2,__m_vfprintf,660,660,0.0
02-171683ecbb3d313ad07176a76ac3e2ad,2,net_buf_fixed_alloc_hci_cmd_pool,12,12,0.0
02-1729d8828dedcef3edf7aa54b842813c,2,__isr_table_entry__isr_wrapper_irq_394,4,4,0.0
02-173e39af8ca5995fd9c5df277c4fb15f,2,m_slave_sent_reject_ext_proc,48,48,0.0
02-1746aea4cab77b7417101baafeffafa4,2,sys_clock_tick_get,104,48,-53.85
02-17b4e41cc091386d9171227ae00fd0d3,2,entropy_psa_crypto_rng_api.lto_priv.0,8,8,0.0
02-17cf759d2f1b0f5f9db6ae2c1640d109,2,smp_find,40,40,0.0
02-17d4491f16912694400c9d687c8a6f25,2,auth_passkey_display.lto_priv.0,32,18,-43.75
02-17eebdc6f673e3b701d9204215b68aa4,2,ll_dc_proc_acl_terminate_event_complete_populate,88,88,0.0
02-17fa8d836ebc302e0f56fdfa53452724,2,__isr_table_entry__isr_wrapper_irq_248,4,4,0.0
02-180576eca01430ddebd2980f76b74ce0,2,__isr_table_entry__isr_wrapper_irq_442,4,4,0.0
02-181686124912cfcd54e5656588111330,2,__isr_table_entry_z_irq_spurious_irq_577,8,8,0.0
02-182023a57587ecb28eb3d48cf8c3bc80,2,__isr_table_entry__isr_wrapper_irq_8,4,4,0.0
02-1830808a55b838194b35a92e677c383d,2,sx_trng_flush.lto_priv.0,48,48,0.0
02-1871ac29eef772378903e1ad40a709db,2,__isr_table_entry_z_irq_spurious_irq_645,8,8,0.0
02-188e867ac88558d3a5f04ce245469b10,2,__isr_table_entry__isr_wrapper_irq_168,4,4,0.0
02-1898eec8a5b36c020395d7143c25be6b,2,ll_ctrl_internal_reschedule_if_slave,34,34,0.0
02-1908f14039bcd8526cda3e24a429134d,2,net_buf_ref,36,,
02-190e9dcb504465f9cd10ab37eeea2e97,2,gpiote_channel_get.lto_priv.0,60,,
02-191f5307f5f82f6c76e13dff551ec89b,2,bt_init.lto_priv.0,1396,1144,-18.05
02-19220b95a8f4090fc9a83d3c4631d378,2,__isr_table_entry_z_irq_spurious_irq_585,8,8,0.0
02-19228d817728ce9f2c946051529284b4,2,k_event_post_internal.constprop.0,244,158,-35.25
02-1937433e3ba9bccd1cef1b95f5eb63b0,2,log_const_bt_settings,8,,
02-1977eb22cc03334c29d591c7ebeef32a,2,__NVIC_SystemReset.lto_priv.0.lto_priv.0,36,36,0.0
02-19882df6419e366482a9dadaeccedccf,2,rem_hal_event_timer_sig_src_reset.constprop.0,32,32,0.0
02-199c8c824685a14f12c655ab3cec42fa,2,__isr_table_entry_z_irq_spurious_irq_793,8,8,0.0
02-19acc109b30f38c41605a1e2d8261b85,2,l2cap_create_le_sig_pdu,60,40,-33.33
02-19b656b9789705a8f4dfb2af3cf2a183,2,get_status.lto_priv.0,48,18,-62.5
02-19eacfc3c3ad449eac78ce52b9955a20,2,__isr_table_entry__isr_wrapper_irq_304,4,4,0.0
02-1a1b1534005cd20893ad47bee853a01d,2,hids_pm_evt_handler,108,68,-37.04
02-1a67b04cdef48c00918353624bc2739a,2,atomic_test_and_set_bit.lto_priv.4.lto_priv.0,32,,
02-1a98057968bfa064f69d7775005eca2c,2,merge_chunks,60,60,0.0
02-1aabf13ff6072b24930ef0f1b4e3fac9,2,hal_rcs_aar_event_disable,28,28,0.0
02-1acd1f648b570c729a904a7c2fa45dfc,2,__compound_literal*,315,315,0.0
02-1acd5653459ce23722750db444dd280f,2,z_impl_k_poll_signal_raise,128,66,-48.44
02-1ae4b261b807cd18097ba7e00e603c2c,2,bt_hci_recv,216,148,-31.48
02-1aec036c293183fde7087c83983da971,2,m_grtc_ch_lookup.lto_priv.0,3,3,0.0
02-1b7fd3fdfb183f312b94b3e63eeaeb9d,2,perform_auto_initiated_procedures,116,92,-20.69
02-1b86a9d8e7fc1b4ff4b970f5b1f9d63b,2,__isr_table_entry__isr_wrapper_irq_306,4,4,0.0
02-1b8dcc2206a995badbcbb9c9b6ae2c56,2,m_trx_state_recv_pkt_do_entry_and_activity,204,204,0.0
02-1b9531846e8967e3cefcd371bf6e6b5f,2,__NVIC_EnableIRQ.lto_priv.0,28,28,0.0
02-1ba10e7f2448f1e34b6679b652d3063d,2,trng_get_seed.constprop.0,324,324,0.0
02-1bad3c00dded1e49ada0434ab84bd112,2,__device_dts_ord_4,20,20,0.0
02-1bcc156c95b6976da192dca5d6d7d49e,2,read_appearance.lto_priv.0,36,36,0.0
02-1bcc31bd812acb4a0751ded8d39586b5,2,pin_trigger_enable.lto_priv.0,212,,
02-1bcccd7f1e8a3c336e0756c376318f09,2,__isr_table_entry__isr_wrapper_irq_478,4,4,0.0
02-1be2a59822ac2b798bbe0f7f39d7c96d,2,valid_keys,380,380,0.0
02-1be6cea27559ad9ef46784dca14391d9,2,log_const_bt_sdc_crypto,8,,
02-1bfeba5baf116d075e88d9f3f14ab86b,2,k_busy_wait.lto_priv.0,,36,
02-1c146873dc8c0c9bee6a28dff6664f3c,2,m_max_packet_pair_time_us_calc.constprop.0,84,84,0.0
02-1c435736722751deb5223386dc0c1cf6,2,m_ll_adv_event_close.lto_priv.0,168,168,0.0
02-1c77af5e3b8d27002575782e59b9b1bf,2,bt_att_released,12,12,0.0
02-1c784fa8ff30a2e6916fae88b851eef2,2,att_read_group_req,240,240,0.0
02-1c7a642e3da9ace3bf2f9f3d74389ef5,2,attr_dis_svc,140,140,0.0
02-1c7c08bfa35032e55ebacbd66b100e6b,2,bt_smp_dhkey_ready,146,146,0.0
02-1c7fab4f5dc7dba9aeaf88e8b6409196,2,ll_dc_proc_enc_start_enc_req_sent_slave,30,30,0.0
02-1ca833ced63e19d377718abe1e008225,2,pin_in_use_by_te.lto_priv.0,36,,
02-1ca9e8b3465f335d90a8d3b0dea99edc,2,mpsl_clock_hfclk_protocol_request,12,12,0.0
02-1ceb4f06941087b7e65c996cabf65a57,2,__isr_table_entry_z_irq_spurious_irq_754,8,8,0.0
02-1cfa03daa1f29ee5406b4966b64c5758,2,arch_irq_unlock_outlined,14,14,0.0
02-1d10c24eef7c2ece8f95aa2e82e2ac2d,2,__isr_table_entry__isr_wrapper_irq_106,4,4,0.0
02-1d195aee0086058170e48c984a5dff80,2,nrf_gpio_pin_set.lto_priv.0.lto_priv.0,24,,
02-1d779641b1ccddc788dfb994a0517981,2,ll_adv_channel_remaining_count_get,42,42,0.0
02-1d83186dce4e0ed7dbd569602a15bb34,2,bt_keys_get_type.constprop.0,,38,
02-1da14b4a1f497cd2740fc098ba75ea51,2,hci_driver_receive_process,1272,1204,-5.35
