uuid,level,name,std1,stdz1,stdz1(%),sci,sci(%)
02-bfd86b3c02079de5f40138bc364dce23,2,pdu_validate_length_rsp,,14,,14,0
02-c01a12ef3a015a44ce5aa5a82d08d25d,2,sdc_support_central,64,,,,
02-c090ab7cef9c541e7f60bfa76f318878,2,sdc_hci_cmd_le_create_conn,4,,,,
02-c21e762daa3e695e48f286ac05ee4753,2,mfy.9,,16,,16,0
02-c4f3de7a94dea27d60750ff34c854c14,2,sdc_hci_cmd_vs_conn_event_extend,4,,,,
02-c51784f8f20c0f6e4c6508e8658bb77e,2,sdc_hci_cmd_vs_event_length_set,4,,,,
02-c55af073e162a75ce4cb86d8f51ebde4,2,pdu_validate_phy_rsp,,14,,14,0
02-c694df211e08d36f9405f0e859b53a9f,2,mpsl_fem_pa_configuration_set,12,,,,
02-c6b5d1bb77c0b3de9f6fbd4132c68f1c,2,__aeabi_memmove,,,,52,
02-c712a2cef9ffae5d12904ef5fb693956,2,sdc_hci_cmd_cb_reset,28,,,,
02-c7d5f8495162588e6bb8a9e1975c45e7,2,soc,224,216,-3.57,216,-3.57
02-c9f5fea207031a15153455b3ea285584,2,__device_dts_ord_102,20,32,60.0,32,60.0
02-cb75feab554681f8c14ea42c55611316,2,sdc_hci_cmd_ip_read_bd_addr,4,,,,
02-cb827609341c41f4f8ba303a3651a4dd,2,mpsl_cx_register_callback,12,,,,
02-cba587e6e6bd9897491c5aaf570f615f,2,__device_dts_ord_5,,32,,32,0
02-cc7c95b9f24a6acd95c08552f9327061,2,pdu_validate_conn_param_rsp,,14,,14,0
02-cce6b4b9a3666cc41898491ea681a9c8,2,sdc_support_le_coded_phy,28,,,,
02-cd99509fe1cfec288a4f4a671e700c9b,2,mpsl_clock_hfclk_request,44,,,,
02-cdea42b9105c869936cd273eeb471b69,2,sdc_support_connection_subrating_central,40,,,,
02-cf397e45a526062d48bc03ff694759a6,2,sdc_hci_cmd_le_set_resolvable_private_address_timeout,4,,,,
02-d0f2f1b822b94d0ab7d885610594c63a,2,sdc_hci_cmd_le_create_conn_cancel,4,,,,
02-d23691e1ce5fdaa7eb1c2b9d2c757a96,2,lll_adv_reset,,48,,48,0
02-d3f32b9e3c5b79e3df751a5669cea100,2,sdc_hci_cmd_le_set_phy,4,,,,
02-d436eb0fd9de10b54a828ce6435f7e81,2,include,144,198,37.5,198,37.5
02-d599c52746e99c6568daa0b1d1fffdd2,2,levels.0,24,24,0.0,24,0.0
02-d5fd52dd6e40cd4dbea9176ce5df34f8,2,sdc_hci_cmd_cb_host_number_of_completed_packets,4,,,,
02-d6194c68fcc7e79bb57401be603cb1cc,2,arch,2508,2424,-3.35,2424,-3.35
02-d70efbaa31c0a51d4fd5b2eabe622a51,2,sdc_hci_cmd_le_set_random_address,4,,,,
02-d8812829e89f59083522afd6a2e36e32,2,mpsl_fem_init,14,,,,
02-d894ab5b1aa1ff87695a6f46024bc328,2,sdc_hci_cmd_cb_read_transmit_power_level,4,,,,
02-d89d9f270b219f5a792bdf88ed8b8999,2,sdc_hci_cmd_le_set_address_resolution_enable,4,,,,
02-d8cd161b1510dad3b5ddd503953ffeff,2,mfy.6,,16,,16,0
02-dac908d149f1f60f9d573cbf837037b6,2,sdc_hci_cmd_cb_write_authenticated_payload_timeout,4,,,,
02-daff8b41793ecc4f91ba2911b8d0377c,2,mpsl_cx_granted_ops_get,12,,,,
02-db7c998204c31b747319f23aabef45f1,2,mpsl_fem_disable,12,,,,
