uuid,level,name,std2.8.0,std2.9.0,std2.9.0(%),std3.0.1,std3.0.1(%)
12-4e0cfe17f747d8872d1c39006ab578ff,12,sx_pk_ecop2mem,,,,4,
12-5369033fe0ecb41f21d5ea1a1a09a330,12,pkhardware_ba414e.c,,,,516,
12-57ce5403e6f678a1e769de83c18ffd60,12,ba414_status.c,76,76,0.0,228,200.0
12-58ff7b65f42361e3a4b98e6a40ef17c4,12,sx_pk_init,60,60,0.0,60,0.0
12-5aba97e760217a54bed58f2bc92934df,12,ikhardware.c,10,10,0.0,380,3700.0
12-64dd1ddeccccd9f4a6b9082d64adfabd,12,sx_pk_acquire_req,,,,76,
12-6d57f88beded4562c34a31388b3de556,12,sx_pk_wait,,,,36,
12-6fe36ed8f1a6c6913634a522801ffb05,12,sx_pk_rdreg,,,,6,
12-75507fdd016d89630b05f73df959409b,12,sx_pk_release_req,,,,44,
12-7b6810d2a680c26c2fb71d9b38e7c06d,12,sx_get_current_req,8,8,0.0,8,0.0
12-7b73f9733363d16d46d6868543a3a714,12,ik_is_busy,,,,20,
12-a2faccfca72f031069635e4e7a8505af,12,is_busy,,,,30,
12-b1ce89562390724e071658a57a4ca60e,12,cmdma_hw.c,156,156,0.0,156,0.0
12-b818bbfb249c34c757c8c3ea88275ad1,12,sx_pk_mem2affpt,,,,32,
12-c07de1fda8f00cadfe2caf71c8141ec8,12,sx_pk_affpt2mem,,,,30,
12-c31e67a38e668d1959a873e4f878eabb,12,cmddefs_ecc.c,,,,48,
12-c3d262d940c4a5ee76da72bed5bcae30,12,sx_pk_wrreg,,,,6,
12-cc1045b0e3b421759ce78deaf85e2139,12,sx_pk_ecop2mem_be,,,,42,
12-ce10023cfe4afafaa6dd75543193aadc,12,sx_pk_get_blinder,,,,4,
12-dcec9684f716ea0d2b8be730033c50b6,12,interrupts.c,256,256,0.0,292,14.06
12-e19c84a3f30a924d02b8e3dcc7f49a7b,12,sx_pk_get_caps,,,,8,
12-ee2280e549732945d0e1f2e522764600,12,sx_clear_interrupt,26,26,0.0,26,0.0
13-08be9eb4c983bd77dadc3d2b92f5166e,13,sx_hw_reserve,84,84,0.0,84,0.0
13-097da0aceec06265b7eadfa96627b1fa,13,convert_ba414_capabilities,76,76,0.0,76,0.0
13-0d09822af6ed9d6e1f3afc4bcb09d767,13,cracen_irq_event_for_cryptomaster,4,4,0.0,4,0.0
13-0dcdb7970d541ac59fcd3c36ed2a6ea0,13,sx_pk_run,,,,38,
13-229f640b455c6fea673d2f1e3b61e494,13,convert_ba414_status,,,,152,
13-27198f92edacebe4597c76e4bb228b04,13,sx_pk_write_curve_gen,,,,36,
13-34358f7eb5856e5d45a8cdc7207f8a86,13,SX_PK_CMD_ECC_PTMUL,,,,4,
13-397d3c572a09f94218fb25d62c3ee7d3,13,sx_pk_blind,,,,108,
13-3b40c9535c04929ec10769ab49b4de32,13,CMD_ECC_PTONCURVE,,,,20,
13-44f0cbab43d4061c1dc047bd6a579531,13,sym_*,24,24,0.0,24,0.0
13-48924329877e89b55802171ba1592d0d,13,sx_pk_count_curve_params,,,,48,
13-4e1c9605e3c6288ca1ff107e27f4da90,13,cracen_interrupts_init,40,40,0.0,40,0.0
13-576b36ad8875b94062bcf10af45b5386,13,sx_pk_list_ecc_inslots,,,,210,
13-5886fb95ea4f02db91500da11a74a2b1,13,cracen_isr_handler,128,128,0.0,128,0.0
13-65c4206fcb44d87c7ce726a8220eac04,13,sx_pk_write_curve,,,,80,
13-80f957ea044898bd41d4655cf11b0fca,13,sx_pk_is_ik_cmd,10,10,0.0,10,0.0
13-811cb16509607a9b4bae641ffa19c8d6,13,sx_cmdma_release_hw,48,48,0.0,48,0.0
13-8dd74dc174bbf4f9b32e0c834f830c40,13,CMD_ECC_PTMUL,,,,20,
13-911d2b678d915de9685bfb90ec6542e9,13,cracen_irq_event_for_pke,4,4,0.0,4,0.0
13-951f81b12d378c09adce92b0044b7d4c,13,SX_PK_CMD_ECC_PTONCURVE,,,,4,
13-96babb81587bf722e5b80b14d73b26df,13,params_x448,,,,112,
13-a1c20c463c2af661edcf7f6093f61f82,13,cracen_wait_for_cm_interrupt,48,48,0.0,48,0.0
13-b8ff08fa031b76a5723e097ecdaca25a,13,sx_pk_get_output_ops,,,,56,
13-bdbf652fcb8e71055393d2b08f555263,13,params_ed448,,,,285,
13-bfc1e8b2ea171a05d9ecd94f9d00272e,13,cracen_wait_for_pke_interrupt,,,,36,
13-c1f49cc0c435f62c3cc05e938edca348,13,params_nistp256,,,,192,
13-d0c08db1c764ab1b57fb262c7b53ee0d,13,sx_pk_select_ops,,,,22,
13-d3886e8ab4d6871a1a36a1640270e2a1,13,sx_pk_get_opsize,,,,4,
13-e602a679d4523f53f9b4cca657a7eca5,13,k_cracen_irq_event_for_pke,16,16,0.0,16,0.0
13-e800998cc7688260cfbe5933c5bc657c,13,sx_pk_ik_derive_keys,,,,252,
13-e85c93a7540d902f0987cdf69955ed73,13,sx_pk_read_ik_capabilities,,,,36,
13-f3c18a675ff7c8b069119aaf35da68b0,13,sx_ik_read_status,,,,44,
13-f3dfde82ea3ba781debb5fdb87761444,13,k_cracen_irq_event_for_cryptomaster,16,16,0.0,16,0.0
