uuid,level,name,std1,app1,app1(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt2,opt2(%)
02-14f14bae508c48a90a4c4e196672872f,2,k_work_submit,,,,,,,,,,12,
02-151215f7c610032d3f44a066730e09f1,2,__isr_table_entry__isr_wrapper_irq_184,,,,,,,,,,4,
02-151d1a2720cc2ad45e71f0bb7e1999fe,2,__isr_table_entry_z_irq_spurious_irq_562,,,,,,,,,,8,
02-15471298a00f9cb185b03dcaadafd432,2,mpsl_ecb_block_encrypt_extended,142,142,0.0,142,0.0,142,0.0,142,0.0,142,0.0
02-155fb2fa6251336b7468ce9c5b3aad71,2,bt_gatt_store_cf,,,,,,,,,,84,
02-1563d57a2fbbd7ccc9f840c4ef99a6b2,2,__device_dts_ord_10,20,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0
02-15a8be0d3db8dcbeb6b8d802bb4e0dce,2,hids_boot_kb_inp_rep_ccc_changed,,,,,,,,,,4,
02-15dd1f0bbdc92b0e5e434d3acdad3959,2,__init_uart_console_init,,,,,,,,,,8,
02-161cfd5335f0121c6d03f4c87e5b7eb0,2,__isr_table_entry_z_irq_spurious_irq_635,,,,,,,,,,8,
02-1625d76be5b128c0bdac61cfa930b20c,2,bt_rand,,,,,,,,,,40,
02-16604d3a6772701ce3665584477df6a3,2,__isr_table_entry__isr_wrapper_irq_520,,,,,,,,,,4,
02-16b66df32213c97f1862e07e9d97f0b5,2,gatt_indicate,,,,,,,,,,340,
02-171683ecbb3d313ad07176a76ac3e2ad,2,net_buf_fixed_alloc_hci_cmd_pool,,,,,,,,,,12,
02-1729d8828dedcef3edf7aa54b842813c,2,__isr_table_entry__isr_wrapper_irq_394,,,,,,,,,,4,
02-1746aea4cab77b7417101baafeffafa4,2,sys_clock_tick_get,,,,,,,,,,104,
02-17b4e41cc091386d9171227ae00fd0d3,2,entropy_psa_crypto_rng_api.lto_priv.0,,,,,,,,,,8,
02-17cf759d2f1b0f5f9db6ae2c1640d109,2,smp_find,,,,,,,,,,56,
02-17d4491f16912694400c9d687c8a6f25,2,auth_passkey_display.lto_priv.0,,,,,,,,,,32,
02-17f3c8150bbe6d2746c1b69a8505383b,2,timeout_list,,,,,,,,,,8,
02-17fa8d836ebc302e0f56fdfa53452724,2,__isr_table_entry__isr_wrapper_irq_248,,,,,,,,,,4,
02-180576eca01430ddebd2980f76b74ce0,2,__isr_table_entry__isr_wrapper_irq_442,,,,,,,,,,4,
02-180b93aa36fd59406c67a07a1f3bacb0,2,spi_nor_0_config,,,,,,,,,,52,
02-181686124912cfcd54e5656588111330,2,__isr_table_entry_z_irq_spurious_irq_577,,,,,,,,,,8,
02-182023a57587ecb28eb3d48cf8c3bc80,2,__isr_table_entry__isr_wrapper_irq_8,,,,,,,,,,4,
02-1871ac29eef772378903e1ad40a709db,2,__isr_table_entry_z_irq_spurious_irq_645,,,,,,,,,,8,
02-187e0cc955574a504d8b5a735936660c,2,sdc_hci_cmd_le_set_adv_data,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-188e867ac88558d3a5f04ce245469b10,2,__isr_table_entry__isr_wrapper_irq_168,,,,,,,,,,4,
02-18c3c40c301869fcbe3c394b33db05cb,2,log_const_fatal_error,,,,,,,,,,8,
02-18d627716a6c8f54e1778dd4fd788eee,2,sdc_hci_cmd_le_long_term_key_request_reply,8,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0
02-1908f14039bcd8526cda3e24a429134d,2,net_buf_ref,,,,,,,,,,36,
02-190e9dcb504465f9cd10ab37eeea2e97,2,gpiote_channel_get.lto_priv.0,,,,,,,,,,60,
02-191f5307f5f82f6c76e13dff551ec89b,2,bt_init.lto_priv.0,,,,,,,,,,1644,
02-19220b95a8f4090fc9a83d3c4631d378,2,__isr_table_entry_z_irq_spurious_irq_585,,,,,,,,,,8,
02-19228d817728ce9f2c946051529284b4,2,k_event_post_internal.constprop.0,,,,,,,,,,244,
02-1937433e3ba9bccd1cef1b95f5eb63b0,2,log_const_bt_settings,,,,,,,,,,8,
02-199c8c824685a14f12c655ab3cec42fa,2,__isr_table_entry_z_irq_spurious_irq_793,,,,,,,,,,8,
